pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"Стол письменный 160"|"GB-0198",1,"160/78/70"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Стол письменный"|"Гербор"
"Зеркало 60"|"GB-0199",1,"62/82/2"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Зеркало"|"Гербор"
"Зеркало 110"|"GB-0200",1,"110/82/2"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Зеркало"|"Гербор"
"Витрина 50"|"GB-0201",1,"50/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Витрина"|"Гербор"
"Витрина 50(матовая)"|"GB-0202",1,"50/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Витрина"|"Гербор"
"Пенал 47"|"GB-0203",1,"47/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Пенал"|"Гербор"
"Пенал открытый 47о"|"GB-0204",1,"47/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Пенал"|"Гербор"
"Пенал 80"|"GB-0205",1,"80/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Пенал"|"Гербор"
"Пенал открытый 80о"|"GB-0206",1,"80/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Пенал"|"Гербор"
"Бар"|"GB-0207",1,"80/197/42"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Шкаф 2d"|"GB-0208",1,"80/197/52"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Надставка шкафа 3d"|"GB-0209",1,"166,5/47/61,4"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Шкаф 4d"|"GB-0210",1,"217/197/61,4"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Шкаф Блюз 240"|"GB-0211",1,"241/230/66"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Тумба прикроватная"|"GB-0212",1,"45/49/36,5"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Тумба"|"Гербор"
"Стол туалетный"|"GB-0213",1,"110/84/38"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Стол "|"Гербор"
"Полка 145(110)"|"GB-0214",1,"145(110)/28,5/25"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Полка"|"Гербор"
"Полка угловая"|"GB-0215",1,"70/2/70"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Полка"|"Гербор"
"Надставка шкафа 4d"|"GB-0216",1,"217/47/61?4"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Шкаф 3d"|"GB-0217",1,"166?5/197/61?4"|"Корпус:венге магия;Фасад: зебрано-африканское/венге светлое/маккасар"|"Капри"|"Шкаф"|"Гербор"
"Кари"|"GB-0218",1,"300/188,5/59,5"|"корпус: бук татра/клен нида; фасад: радуга голубая/красный бауш/ольха голубая"|"Кари"|"Детские"|"Гербор"
"КОМОД"|"GB-0219",1,"80/77/38,5"|"Бук татра"|"Ким"|"комод"|"Гербор"
"Кровать (каркас) 160"|"GB-0220",1,"167,5/90/220"|"Бук татра"|"Ким"|"Кровать"|"Гербор"
"Кровать (каркас) 140"|"GB-0221",1,"147,5/90/220"|"Бук татра"|"Ким"|"Кровать"|"Гербор"
"Стол туалетный"|"GB-0222",1,"85/140/38,5"|"Бук татра"|"Ким"|"Столы"|"Гербор"
"Надставка шкафа 3D"|"GB-0223",1,"155/47,5/57"|"Бук татра"|"Ким"|"Шкаф"|"Гербор"
"Надставка шкафа 4D"|"GB-0224",1,"204/47,5/57"|"Бук татра"|"Ким"|"Шкаф"|"Гербор"
"Шкаф платяной 3D"|"GB-0225",1,"155/203/57"|"Бук татра"|"Ким"|"Шкаф"|"Гербор"
"Шкаф платняной 4D"|"GB-0226",1,"204/203/57"|"Бук татра"|"Ким"|"Шкаф"|"Гербор"
"Тумба прикроватная"|"GB-0227",1,"45/42,5/38,5"|"Бук татра"|"Ким"|"Тумба"|"Гербор"
"PLAW 110"|"GB-0228",1,"110/55/70"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Журнальные столики"|"Гербор"
"PKOM_4S/6"|"GB-0229",1,"61,5/94,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PKOM_4S/11"|"GB-0230",1,"106,5/94,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PKOM_5S/6"|"GB-0231",1,"61,5/112,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PREG_2D/11"|"GB-0232",1,"106,5/94,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PREG_3D/15"|"GB-0233",1,"151,5/94,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PREG_3W/15"|"GB-0234",1,"151,5/94,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PREG_2W1D/15"|"GB-0235",1,"151,5/94,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PREG_4D/11"|"GB-0236",1,"106,5/112,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"PREG_2D1K3S"|"GB-0237",1,"156,5/112,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"комод"|"Гербор"
"030 PLOZ 90"|"GB-0238",1,"96/78,5-46/207"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Кровать"|"Гербор"
"031 PLOZ 140"|"GB-0239",1,"146/78,5-46/207"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Кровать"|"Гербор"
"032 PLOZ 160"|"GB-0240",1,"166/78,5-46/207"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Кровать"|"Гербор"
"033 PLOZ 180"|"GB-0241",1,"186/78,5-46/207"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Кровать"|"Гербор"
"PSTO 130/180"|"GB-0242",1,"130-180/75/85,5"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Обеденные столы"|"Гербор"
"PBIU7/12"|"GB-0243",1,"120/75/72"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Письменный стол"|"Гербор"
"PBIU7/16"|"GB-0244",1,"160/75/72"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Письменный стол"|"Гербор"
"PRTV_2S/4/15"|"GB-0245",1,"151,5/40,5/56,5"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Тумбы РТВ"|"Гербор"
"PP 1/11"|"GB-0246",1,"106,5/3,5/25"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Полка"|"Гербор"
"PP1/15"|"GB-0247",1,"151,5/3,5/25"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Полка"|"Гербор"
"PLACZ 1/7"|"GB-0248",1,"72/3,6/72"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Столы"|"Гербор"
"PLUS/8/8"|"GB-0249",1,"88,5/88,5/4,5"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Зеркало"|"Гербор"
"PLUS11/8"|"GB-0250",1,"106,5/80/4,5"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Зеркало"|"Гербор"
"PSW/4/11"|"GB-0251",1,"106,5/40/30"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Полка"|"Гербор"
"PSW4/15"|"GB-0252",1,"151,5/40/30"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Полка"|"Гербор"
"PSW_1W/4/11"|"GB-0253",1,"106,5/40/30"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Полка"|"Гербор"
"PSW_1W/4/15"|"GB-0254",1,"151,5/40/30"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Полка"|"Гербор"
"PREG/20/6"|"GB-0255",1,"61,5/202,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Стеллаж"|"Гербор"
"PREG_1W/20/6"|"GB-0256",1,"61,5/202,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Витрина"|"Гербор"
"PREG_1D/20/6"|"GB-0257",1,"61,5/202,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Пенал"|"Гербор"
"PSZF_2D/20/10"|"GB-0258",1,"106,5/202,5/62"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Шкаф"|"Гербор"
"PSZF_3D/21/16"|"GB-0259",1,"166,5/212,5/62"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Шкаф"|"Гербор"
"PSZN5/3"|"GB-0260",1,"51,5/34,5/38"|"Корпус:слива валис/венге; Фасад: дуб чесачный/слива валис/венге/сибу/маккасар"|"Ларго"|"Тумба"|"Гербор"
"LAW 110"|"GB-0261",1,"110/55/70"|"Вишня итальянская"|"Ларго классик"|"Журнальные столики"|"Гербор"
"KOM_4S/6"|"GB-0262",1,"61,5/96/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"KOM_4S/11"|"GB-0263",1,"106,5/96/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"REG_2D/11"|"GB-0264",1,"106,5/96/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"REG_3D/15"|"GB-0265",1,"151,5/96/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"REG_2W/11"|"GB-0266",1,"106,5/96/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"REG_2W1D/15"|"GB-0267",1,"151,5/96/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"KOM_5S/6"|"GB-0268",1,"61,5/114/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"REG_4D/11"|"GB-0269",1,"106,5/114/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"REG_2D1K3S"|"GB-0270",1,"156,5/114/38"|"Вишня итальянская"|"Ларго классик"|"комод"|"Гербор"
"025 LOZ 90"|"GB-0271",1,"96/78,5-46/207"|"Вишня итальянская"|"Ларго классик"|"Кровать"|"Гербор"
"026 LOZ 140"|"GB-0272",1,"146/78,5-46/207"|"Вишня итальянская"|"Ларго классик"|"Кровать"|"Гербор"
"027 LOZ 160"|"GB-0273",1,"166/78,5-46/207"|"Вишня итальянская"|"Ларго классик"|"Кровать"|"Гербор"
"028 LOZ 180"|"GB-0274",1,"186/78,5-46/207"|"Вишня итальянская"|"Ларго классик"|"Кровать"|"Гербор"
"Стол обеденный PSTO 130-180"|"GB-0275",1,"130-180/75/85,6"|"Вишня итальянская"|"Ларго классик"|"Обеденные столы"|"Гербор"
"RTV_2S/4/15"|"GB-0276",1,"151,5/42/56,5"|"Вишня итальянская"|"Ларго классик"|"Тумбы РТВ"|"Гербор"
"SW/4/11"|"GB-0277",1,"106,5/40/30"|"Вишня итальянская"|"Ларго классик"|"Полка"|"Гербор"
"SW/4/15"|"GB-0278",1,"151,5/40/30"|"Вишня итальянская"|"Ларго классик"|"Полка"|"Гербор"
"SW_1W/4/11"|"GB-0279",1,"106,5/40/30"|"Вишня итальянская"|"Ларго классик"|"Полка"|"Гербор"
"SW_1W/4/15"|"GB-0280",1,"151,5/40/30"|"Вишня итальянская"|"Ларго классик"|"Полка"|"Гербор"
"LUS8/8"|"GB-0281",1,"88,5/88,5/4,5"|"Вишня итальянская"|"Ларго классик"|"Зеркало"|"Гербор"
